company_key	company_display	linkedin_company_url	linkedin_people_url	verification_source	verified_on	status
adonis	Adonis	https://www.linkedin.com/company/adonis-technology/	https://www.linkedin.com/company/adonis-technology/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
amazon-advertising-llc	Amazon Advertising LLC	https://www.linkedin.com/company/amazon/	https://www.linkedin.com/company/amazon/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
amazon-com-services-llc	Amazon.com Services LLC	https://www.linkedin.com/company/amazon/	https://www.linkedin.com/company/amazon/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
anthropic	Anthropic	https://www.linkedin.com/company/anthropicresearch/	https://www.linkedin.com/company/anthropicresearch/people/	LinkedIn company page matched to anthropic.com	2026-09-09	verified
benchling	Benchling	https://www.linkedin.com/company/benchling/	https://www.linkedin.com/company/benchling/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
blink-health	Blink Health	https://www.linkedin.com/company/blinkrx/	https://www.linkedin.com/company/blinkrx/people/	LinkedIn BlinkRx company page identifies Blink Health as its company brand	2026-09-09	verified
bop-llc	Bop LLC (Shopbop)	https://www.linkedin.com/company/shopbop/	https://www.linkedin.com/company/shopbop/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
clair	Clair	https://www.linkedin.com/company/clair/	https://www.linkedin.com/company/clair/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
companycam-inc	CompanyCam, Inc.	https://www.linkedin.com/company/companycam/	https://www.linkedin.com/company/companycam/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
datadog-inc	Datadog, Inc.	https://www.linkedin.com/company/datadog/	https://www.linkedin.com/company/datadog/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
deutsche-bank	Deutsche Bank	https://www.linkedin.com/company/deutsche-bank/	https://www.linkedin.com/company/deutsche-bank/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
doordash	DoorDash	https://www.linkedin.com/company/doordash/	https://www.linkedin.com/company/doordash/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
dropbox-inc	Dropbox, Inc.	https://www.linkedin.com/company/dropbox/	https://www.linkedin.com/company/dropbox/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
duetti-inc	Duetti, Inc.	https://www.linkedin.com/company/duetti/	https://www.linkedin.com/company/duetti/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
